DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
UF de residência: Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins
Período:2014-2025
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"120038 PLACIDO DE CASTRO";-;25;6;43;128;481;144;12;45;2;124;13;26;1049
"120039 PORTO WALTER";-;51;37;4;-;8;1;30;12;157;94;36;112;542
"120040 RIO BRANCO";13;585;435;613;375;1479;2714;1271;5536;240;1243;1250;3704;19458
"120042 RODRIGUES ALVES";-;311;320;33;43;112;446;389;488;235;146;431;197;3151
"120043 SANTA ROSA DO PURUS";-;4;1;-;1;-;2;-;1;-;5;5;1;20
"120045 SENADOR GUIOMARD";-;19;28;57;8;23;40;36;29;1;31;24;46;342
"120050 SENA MADUREIRA";-;38;16;31;16;1138;317;72;627;200;572;147;147;3321
"120060 TARAUACA";-;28;24;13;4;283;1954;833;3040;130;354;244;286;7193
"120070 XAPURI";-;11;43;130;198;146;695;237;896;41;168;33;37;2635
"120080 PORTO ACRE";-;12;39;125;39;174;72;149;170;5;194;65;96;1140
"130002 ALVARAES";-;15;22;3;7;2;4;1;23;220;237;86;10;630
"130006 AMATURA";-;4;1;-;-;-;-;1;3;4;1;1;-;15
"130008 ANAMA";-;-;1;-;-;-;-;-;-;-;-;2;1;4
"130010 ANORI";-;40;3;2;1;2;-;1;2;-;-;1;-;52
"130014 APUI";-;1;6;12;1;-;1;-;2;-;8;1;1;33
"130020 ATALAIA DO NORTE";-;6;1;1;-;-;12;9;3;166;18;65;658;939
"130030 AUTAZES";-;-;-;25;2;2;1;-;4;1;-;4;3;42
"130040 BARCELOS";-;10;105;5;4;1;9;45;5;3;17;7;76;287
"130050 BARREIRINHA";-;-;1;2;-;-;-;-;-;1;-;3;3;10
"130060 BENJAMIN CONSTANT";-;3;1;22;17;1;431;671;84;1643;89;2;216;3180
"130063 BERURI";-;-;1;23;13;-;-;1;17;2;2;48;3;110
"130068 BOA VISTA DO RAMOS";-;1;-;27;6;2;-;-;1;-;-;2;-;39
"130070 BOCA DO ACRE";-;18;17;41;17;23;198;654;140;4;19;27;30;1188
"130080 BORBA";-;50;6;68;41;6;44;16;25;-;42;11;17;326
"130083 CAAPIRANGA";-;2;-;1;1;1;-;-;1;-;1;9;3;19
"130090 CANUTAMA";-;1;-;-;3;1;1;6;-;2;-;162;25;201
"130100 CARAUARI";-;-;1;3;36;4;623;357;40;5;2;22;19;1112
"130110 CAREIRO";-;6;3;17;-;2;2;5;2;-;5;13;4;59
"130115 CAREIRO DA VARZEA";-;-;1;-;1;2;-;1;1;-;-;4;1;11
"130120 COARI";15;493;1;114;248;15;4;9;8;94;124;413;75;1613
"130130 CODAJAS";-;7;-;-;58;2;9;7;19;3;31;325;48;509
"130140 EIRUNEPE";-;1;1;2;-;1;17;276;110;1;6;44;529;988
"130150 ENVIRA";-;-;4;1;-;1;-;21;134;123;5;883;420;1592
"130160 FONTE BOA";-;-;1;1;-;-;-;1;3;2;-;3;6;17
"130165 GUAJARA";-;532;271;77;80;106;632;431;56;117;48;948;346;3644
"130170 HUMAITA";-;65;9;29;50;19;70;148;211;277;274;37;8;1197
"130180 IPIXUNA";-;19;13;4;5;4;23;32;152;412;460;20;316;1460
"130185 IRANDUBA";-;2;8;21;27;20;9;12;321;65;99;29;15;628
"130190 ITACOATIARA";-;465;130;111;28;355;33;19;12;20;6;24;7;1210
"130195 ITAMARATI";-;1;-;-;1;-;1;-;-;-;-;-;-;3
"130200 ITAPIRANGA";-;1;-;-;1;1;-;-;1;-;-;-;-;4
"130210 JAPURA";-;2;-;14;2;1;-;1;4;178;291;202;78;773
"130220 JURUA";-;1;-;-;-;-;2;1;1;1;-;8;1;15
"130230 JUTAI";-;-;-;2;1;-;-;509;223;8;698;690;420;2551
"130240 LABREA";-;22;9;31;15;4;1;594;338;82;613;693;52;2454
"130250 MANACAPURU";-;13;12;50;16;4;14;12;178;17;30;48;81;475
"130255 MANAQUIRI";-;-;-;4;-;-;-;1;1;2;1;9;4;22
"130260 MANAUS";8;2591;1614;5347;2516;1269;464;943;3946;1191;1170;2638;1279;24976
"130270 MANICORE";-;3;31;3;1;1;-;17;487;190;98;48;20;899
"130280 MARAA";-;7;1;3;3;2;1;-;3;1;114;12;12;159
"130290 MAUES";-;2;162;170;46;15;5;-;6;3;70;87;34;600
"130300 NHAMUNDA";-;-;-;-;-;-;1;-;-;-;-;2;-;3
"130310 NOVA OLINDA DO NORTE";-;2;27;107;10;1;1;-;3;-;1;2;-;154
"130320 NOVO AIRAO";-;6;-;72;13;1;7;-;17;8;2;17;30;173
"130330 NOVO ARIPUANA";-;57;259;304;36;16;15;12;5;-;3;3;7;717
"130340 PARINTINS";-;13;524;17;24;8;2;30;33;13;5;22;41;732
"130350 PAUINI";-;-;-;1;2;1;1;3;4;1;3;-;7;23
"130353 PRESIDENTE FIGUEIREDO";-;31;12;22;1;4;47;93;47;14;13;20;60;364
"130356 RIO PRETO DA EVA";-;1;3;3;1;5;4;4;13;42;17;10;3;106
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;1;-;-;1;42;16;4;1;1;12;78
"130370 SANTO ANTONIO DO ICA";-;2;4;-;-;-;2;37;80;104;27;64;8;328
"130380 SAO GABRIEL DA CACHOEIRA";-;385;144;212;72;114;865;865;24;4;4;47;17;2753
"130390 SAO PAULO DE OLIVENCA";-;-;4;-;-;-;5;15;130;64;159;5;93;475
"130395 SAO SEBASTIAO DO UATUMA";-;1;1;-;-;-;-;-;26;-;1;7;1;37
"130400 SILVES";-;2;3;6;-;-;1;-;1;-;-;1;-;14
"130406 TABATINGA";7;1089;315;340;109;17;388;101;146;136;139;59;123;2969
"130410 TAPAUA";-;1;125;85;100;37;15;-;942;113;155;185;17;1775
"130420 TEFE";-;689;72;76;306;278;47;62;255;40;856;378;52;3111
"130423 TONANTINS";-;-;-;-;-;-;-;19;22;58;378;232;25;734
"130426 UARINI";-;1;-;1;-;1;-;1;2;4;12;-;-;22
"130430 URUCARA";-;1;-;62;-;-;2;-;-;-;1;3;1;70
"130440 URUCURITUBA";-;-;2;51;3;7;1;-;2;-;-;5;-;71
"140002 AMAJARI";-;13;43;5;4;-;8;4;-;1;1;2;7;88
"140005 ALTO ALEGRE";-;23;13;4;2;1;9;5;8;5;1;39;9;119
"140010 BOA VISTA";2;288;399;75;197;71;1000;355;45;39;61;272;236;3040
"140015 BONFIM";-;107;41;3;10;1;47;12;5;1;91;6;33;357
"140017 CANTA";-;13;24;18;5;-;17;32;-;1;16;31;9;166
"140020 CARACARAI";8;68;150;8;15;2;202;18;7;1;8;6;42;535
"140023 CAROEBE";-;6;4;46;1;-;211;5;12;1;2;4;13;305
"140028 IRACEMA";-;115;55;3;5;1;5;-;3;-;22;22;7;238
"140030 MUCAJAI";-;37;53;7;12;3;55;12;7;7;6;7;8;214
"140040 NORMANDIA";-;4;10;1;-;3;3;35;-;-;1;58;4;119
"140045 PACARAIMA";-;18;9;2;1;1;3;-;-;-;5;77;52;168
"140047 RORAINOPOLIS";-;429;281;6;8;24;4;14;18;3;18;153;32;990
"140050 SAO JOAO DA BALIZA";-;5;23;33;23;3;17;1;10;1;1;2;19;138
"140060 SAO LUIZ";-;1;-;-;4;-;3;1;1;-;-;25;8;43
"140070 UIRAMUTA";-;2;10;1;1;1;21;-;-;-;-;1;5;42
"150010 ABAETETUBA";-;16;36;127;165;37;9;15;8;8;26;308;120;875
"150013 ABEL FIGUEIREDO";-;10;15;20;7;2;7;1;-;-;10;12;11;95
"150020 ACARA";-;65;2;14;3;14;7;3;8;33;34;106;53;342
"150030 AFUA";-;2;8;11;9;10;9;2;2;154;229;238;154;828
"150034 AGUA AZUL DO NORTE";-;3;22;18;176;5;31;4;27;25;124;18;14;467
"150040 ALENQUER";-;4;220;536;43;15;5;43;113;24;3;80;10;1096
"150050 ALMEIRIM";-;150;2;3;7;79;-;2;1;-;3;100;14;361
"150060 ALTAMIRA";1;247;298;84;52;17;58;318;206;126;340;709;871;3327
"150070 ANAJAS";-;-;1;1;3;-;-;1;-;73;5;196;39;319
"150080 ANANINDEUA";-;35;335;292;74;90;38;42;19;42;62;493;254;1776
"150085 ANAPU";3;249;18;55;590;6;138;16;1;62;20;582;132;1872
"150090 AUGUSTO CORREA";-;4;48;14;5;65;4;17;10;1;4;88;386;646
"150095 AURORA DO PARA";-;7;2;3;6;15;2;2;1;6;91;30;23;188
"150100 AVEIRO";-;-;-;3;1;-;1;-;-;-;-;-;39;44
"150110 BAGRE";-;-;66;-;1;-;-;1;-;-;9;9;1;87
"150120 BAIAO";-;4;2;3;2;33;1;-;3;4;5;160;51;268
"150125 BANNACH";-;25;14;38;13;2;29;50;22;11;26;80;10;320
"150130 BARCARENA";-;7;18;79;37;31;10;9;3;4;6;238;363;805
"150140 BELEM";1;480;1493;737;253;223;200;231;619;278;528;3438;937;9418
"150145 BELTERRA";-;-;13;21;10;20;4;17;24;8;7;541;52;717
"150150 BENEVIDES";-;7;66;51;2;15;13;21;19;6;59;249;173;681
"150157 BOM JESUS DO TOCANTINS";-;1;2;4;1;-;2;1;1;11;7;10;19;59
"150160 BONITO";-;-;8;2;4;3;20;8;2;1;-;-;9;57
"150170 BRAGANCA";-;7;51;202;33;24;32;14;8;7;10;111;142;641
"150172 BRASIL NOVO";-;70;209;44;8;9;70;31;12;5;7;6;175;646
"150175 BREJO GRANDE DO ARAGUAIA";-;19;23;43;3;16;2;4;7;1;6;13;9;146
"150178 BREU BRANCO";-;4;31;462;343;149;5;13;-;3;6;3;33;1052
"150180 BREVES";-;6;203;48;6;3;7;4;2;1;47;131;34;492
"150190 BUJARU";-;3;4;2;1;2;4;1;-;2;1;35;60;115
"150195 CACHOEIRA DO PIRIA";-;20;4;82;23;3;-;2;-;2;-;35;4;175
"150200 CACHOEIRA DO ARARI";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"150210 CAMETA";1;14;33;44;12;6;12;65;13;82;165;638;73;1158
"150215 CANAA DOS CARAJAS";-;16;184;87;31;33;309;16;48;273;127;211;383;1718
"150220 CAPANEMA";-;11;90;140;19;41;63;22;12;1;39;31;15;484
"150230 CAPITAO POCO";-;8;24;79;147;41;4;1;1;3;21;78;14;421
"150240 CASTANHAL";-;15;123;52;57;95;30;29;13;16;140;865;666;2101
"150250 CHAVES";-;1;1;3;3;3;3;-;1;-;-;1;4;20
"150260 COLARES";-;1;21;2;3;-;1;-;2;1;4;373;36;444
"150270 CONCEICAO DO ARAGUAIA";-;12;18;96;140;102;293;53;856;564;123;165;301;2723
"150275 CONCORDIA DO PARA";-;4;1;5;3;4;-;2;2;6;3;84;34;148
"150276 CUMARU DO NORTE";-;5;27;184;15;12;8;26;37;21;108;5;237;685
"150277 CURIONOPOLIS";-;21;11;56;2;-;5;-;-;21;1;15;44;176
"150280 CURRALINHO";-;2;3;1;3;1;3;7;3;1;-;149;12;185
"150285 CURUA";-;-;1;3;1;-;-;-;-;2;-;11;1;19
"150290 CURUCA";-;11;15;10;5;24;5;2;-;10;7;105;5;199
"150293 DOM ELISEU";-;22;67;511;7;9;35;9;-;46;12;76;229;1023
"150295 ELDORADO DOS CARAJAS";-;19;-;6;2;1;2;-;1;28;8;7;196;270
"150300 FARO";-;-;-;-;-;-;-;1;-;1;-;65;-;67
"150304 FLORESTA DO ARAGUAIA";-;1;26;193;8;83;13;4;64;173;107;13;168;853
"150307 GARRAFAO DO NORTE";-;-;1;4;5;4;-;1;-;-;1;18;3;37
"150309 GOIANESIA DO PARA";-;4;28;117;142;229;274;37;1;38;8;14;34;926
"150310 GURUPA";-;37;8;18;5;1;1;-;-;-;2;22;4;98
"150320 IGARAPE-ACU";-;7;5;20;1;9;8;14;-;19;45;206;20;354
"150330 IGARAPE-MIRI";-;1;10;4;2;12;13;3;36;34;8;169;37;329
"150340 INHANGAPI";-;9;80;15;4;71;1;2;2;-;5;53;85;327
"150345 IPIXUNA DO PARA";-;19;3;6;9;9;6;9;8;18;32;99;24;242
"150350 IRITUIA";-;6;38;5;6;13;3;6;1;3;8;25;3;117
"150360 ITAITUBA";-;70;63;556;48;32;23;138;520;62;12;166;631;2321
"150370 ITUPIRANGA";-;36;38;30;13;11;26;8;2;41;168;30;87;490
"150375 JACAREACANGA";-;-;-;2;1;-;1;1;1;1;3;3;5;18
"150380 JACUNDA";-;3;18;70;99;3;20;11;3;83;172;130;260;872
"150390 JURUTI";-;25;1;32;19;4;2;1;8;10;4;63;4;173
"150400 LIMOEIRO DO AJURU";-;1;4;10;33;4;3;4;-;-;5;33;13;110
"150405 MAE DO RIO";-;1;10;5;-;156;15;-;-;6;26;26;45;290
"150410 MAGALHAES BARATA";-;1;6;-;-;2;-;-;2;1;27;17;2;58
"150420 MARABA";1;94;130;534;465;22;53;2;7;60;24;147;122;1661
"150430 MARACANA";-;3;2;17;28;31;25;1;1;21;7;11;6;153
"150440 MARAPANIM";-;-;3;1;2;176;12;-;1;1;6;49;1;252
"150442 MARITUBA";-;107;318;172;100;56;16;12;10;27;24;194;138;1174
"150445 MEDICILANDIA";-;15;11;7;45;28;64;56;56;15;15;9;56;377
"150450 MELGACO";-;1;2;1;-;-;-;1;1;1;3;13;25;48
"150460 MOCAJUBA";-;2;17;22;3;4;26;25;2;4;4;75;143;327
"150470 MOJU";-;3;9;3;1;62;42;2;4;8;15;55;83;287
"150475 MOJUI DOS CAMPOS";-;30;172;31;13;10;4;13;7;44;11;124;10;469
"150480 MONTE ALEGRE";-;3;232;506;5;-;1;6;2;2;108;695;3;1563
"150490 MUANA";-;12;9;8;2;3;5;2;1;-;11;18;6;77
"150495 NOVA ESPERANCA DO PIRIA";-;3;-;26;64;13;4;1;-;-;2;9;125;247
"150497 NOVA IPIXUNA";-;15;60;95;6;8;67;2;3;2;4;26;22;310
"150500 NOVA TIMBOTEUA";-;-;25;19;6;85;3;-;-;-;1;26;4;169
"150503 NOVO PROGRESSO";-;69;124;303;64;72;98;291;48;111;113;247;796;2336
"150506 NOVO REPARTIMENTO";-;11;15;196;145;92;111;38;72;48;73;31;319;1151
"150510 OBIDOS";-;11;12;54;3;3;3;3;9;9;7;25;6;145
"150520 OEIRAS DO PARA";-;3;2;12;4;1;1;1;-;6;9;285;12;336
"150530 ORIXIMINA";2;214;47;319;35;9;7;-;8;12;10;133;8;804
"150540 OUREM";-;1;2;1;1;-;-;1;8;1;2;12;2;31
"150543 OURILANDIA DO NORTE";-;17;66;42;77;16;65;42;35;6;6;74;67;513
"150548 PACAJA";2;182;169;225;290;57;65;44;118;65;12;225;958;2412
"150549 PALESTINA DO PARA";-;-;1;2;68;27;3;7;1;9;9;10;71;208
"150550 PARAGOMINAS";-;9;3;8;44;1;47;1;3;25;67;70;29;307
"150553 PARAUAPEBAS";8;529;451;350;1119;266;1643;471;139;1209;416;919;1428;8948
"150555 PAU D'ARCO";-;-;2;40;44;55;1;17;10;35;54;337;106;701
"150560 PEIXE-BOI";-;-;3;23;-;2;3;4;5;10;9;29;8;96
"150563 PICARRA";-;1;-;5;-;1;3;1;2;16;7;-;-;36
"150565 PLACAS";-;7;21;4;1;-;-;-;2;10;3;82;155;285
"150570 PONTA DE PEDRAS";-;15;123;52;-;6;1;4;1;10;5;44;132;393
"150580 PORTEL";-;14;79;20;-;2;-;-;-;-;4;95;61;275
"150590 PORTO DE MOZ";-;3;23;11;-;-;2;4;-;3;2;8;8;64
"150600 PRAINHA";-;-;70;88;1;1;2;-;20;166;52;1031;21;1452
"150610 PRIMAVERA";-;-;41;31;6;3;-;-;1;13;2;2;13;112
"150611 QUATIPURU";-;-;2;41;6;23;6;-;4;1;5;9;1;98
"150613 REDENCAO";-;10;29;35;119;69;11;52;64;59;50;93;523;1114
"150616 RIO MARIA";-;17;23;19;39;6;33;48;6;26;93;249;148;707
"150618 RONDON DO PARA";-;10;70;247;79;60;53;3;3;17;25;50;19;636
"150619 RUROPOLIS";-;3;24;232;27;-;78;20;66;70;77;329;40;966
"150620 SALINOPOLIS";-;10;17;14;2;7;11;4;3;4;37;40;8;157
"150630 SALVATERRA";-;8;10;24;3;-;-;7;1;-;-;7;1;61
"150635 SANTA BARBARA DO PARA";-;8;26;9;-;7;20;10;2;3;8;36;60;189
"150640 SANTA CRUZ DO ARARI";-;-;2;1;1;-;-;-;-;-;-;-;2;6
"150650 SANTA IZABEL DO PARA";-;18;144;27;2;8;4;11;7;49;146;194;194;804
"150655 SANTA LUZIA DO PARA";-;4;16;23;13;12;18;3;143;54;30;46;7;369
"150658 SANTA MARIA DAS BARREIRAS";-;30;54;111;97;35;77;30;1;5;2;34;90;566
"150660 SANTA MARIA DO PARA";-;1;3;14;3;33;4;8;1;6;6;33;44;156
"150670 SANTANA DO ARAGUAIA";-;9;18;171;22;3;67;134;445;323;36;243;195;1666
"150680 SANTAREM";-;19;36;11;4;32;33;88;95;326;49;248;183;1124
"150690 SANTAREM NOVO";-;1;14;2;9;15;2;12;-;4;1;2;2;64
"150700 SANTO ANTONIO DO TAUA";-;1;14;12;7;24;5;7;7;1;2;15;16;111
"150710 SAO CAETANO DE ODIVELAS";-;1;15;4;5;9;6;-;3;1;7;148;5;204
"150715 SAO DOMINGOS DO ARAGUAIA";-;33;90;135;12;-;10;17;10;17;26;137;153;640
"150720 SAO DOMINGOS DO CAPIM";-;16;6;6;2;3;5;6;3;5;26;267;24;369
"150730 SAO FELIX DO XINGU";-;184;93;137;50;67;147;133;92;63;14;29;248;1257
"150740 SAO FRANCISCO DO PARA";-;16;4;8;20;23;3;2;4;5;3;56;21;165
"150745 SAO GERALDO DO ARAGUAIA";-;53;29;100;225;4;3;4;49;42;6;6;12;533
"150746 SAO JOAO DA PONTA";-;33;13;5;1;5;-;3;2;-;-;35;4;101
"150747 SAO JOAO DE PIRABAS";-;2;5;26;31;7;8;20;-;8;102;19;2;230
"150750 SAO JOAO DO ARAGUAIA";-;7;19;101;97;83;125;56;266;73;104;196;180;1307
"150760 SAO MIGUEL DO GUAMA";-;3;3;8;2;10;8;3;2;10;9;181;64;303
"150770 SAO SEBASTIAO DA BOA VISTA";-;4;7;2;-;1;-;-;-;-;-;11;4;29
"150775 SAPUCAIA";-;-;1;93;4;-;-;8;63;10;10;7;127;323
"150780 SENADOR JOSE PORFIRIO";1;514;209;22;8;4;237;15;41;29;62;86;120;1348
"150790 SOURE";-;5;31;34;102;4;8;6;4;13;15;26;8;256
"150795 TAILANDIA";-;33;39;21;7;3;16;1;3;177;87;18;397;802
"150796 TERRA ALTA";-;2;15;1;2;22;-;1;1;-;8;67;17;136
"150797 TERRA SANTA";-;5;1;-;-;-;-;-;-;1;-;7;-;14
"150800 TOME-ACU";-;33;101;93;4;2;38;7;1;8;114;182;439;1022
"150803 TRACUATEUA";-;19;25;45;2;14;18;11;3;3;11;12;7;170
"150805 TRAIRAO";-;-;2;10;1;-;-;25;141;26;2;115;206;528
"150808 TUCUMA";-;27;59;2;5;1;19;15;4;12;34;37;85;300
"150810 TUCURUI";-;16;22;358;421;81;18;12;6;11;40;68;148;1201
"150812 ULIANOPOLIS";-;1;3;3;1;2;2;4;-;11;6;18;10;61
"150815 URUARA";-;79;36;26;-;-;7;37;5;28;10;58;217;503
"150820 VIGIA";-;7;1;1;183;23;5;5;1;1;-;127;4;358
"150830 VISEU";-;1;35;21;2;71;1;1;2;6;15;91;23;269
"150835 VITORIA DO XINGU";-;94;43;16;22;19;88;137;116;49;191;210;192;1177
"150840 XINGUARA";1;14;75;93;880;12;21;224;131;159;244;138;499;2491
"160005 SERRA DO NAVIO";-;12;19;21;39;12;11;-;-;1;21;65;89;290
"160010 AMAPA";-;2;7;3;4;3;1;-;2;1;1;10;1;35
"160015 PEDRA BRANCA DO AMAPARI";-;138;123;104;44;84;4;1;4;-;88;14;120;724
"160020 CALCOENE";-;79;379;79;13;1;-;-;2;-;4;886;51;1494
"160021 CUTIAS";-;1;2;-;2;-;-;-;-;-;1;10;1;17
"160023 FERREIRA GOMES";-;12;85;125;72;65;1;4;1;-;-;79;74;518
"160025 ITAUBAL";-;-;5;2;2;2;1;-;-;-;2;20;1;35
"160027 LARANJAL DO JARI";-;875;53;1;29;159;5;11;2;-;338;793;51;2317
"160030 MACAPA";1;286;1547;922;351;338;141;35;228;232;620;5701;1323;11725
"160040 MAZAGAO";-;25;280;11;7;20;1;6;6;6;2;101;144;609
"160050 OIAPOQUE";-;620;417;398;231;2;5;2;24;27;81;1013;146;2966
"160053 PORTO GRANDE";-;117;150;4;34;5;3;3;1;6;6;478;88;895
"160055 PRACUUBA";-;-;1;1;1;1;1;-;-;-;-;17;31;53
"160060 SANTANA";-;21;272;75;70;44;19;5;9;19;58;1044;254;1890
"160070 TARTARUGALZINHO";-;2;60;71;22;24;-;-;1;1;7;439;82;709
"160080 VITORIA DO JARI";-;3;-;2;-;4;-;-;1;-;1;24;12;47
"170025 ABREULANDIA";-;17;63;4;4;5;4;1;17;91;7;3;1;217
"170030 AGUIARNOPOLIS";-;9;1;12;61;2;16;4;4;117;3;11;14;254
"170035 ALIANCA DO TOCANTINS";-;-;5;16;12;-;6;3;1;4;7;1;2;57
"170040 ALMAS";-;1;8;24;12;4;27;1;-;1;13;16;20;127
"170070 ALVORADA";-;1;7;17;1;9;23;6;-;66;22;41;12;205
"170100 ANANAS";-;3;9;54;17;23;28;26;19;31;4;23;10;247
"170105 ANGICO";-;1;-;-;3;-;-;-;-;5;1;-;4;14
"170110 APARECIDA DO RIO NEGRO";-;3;77;74;34;12;29;10;4;84;4;1;2;334
"170130 ARAGOMINAS";-;5;16;40;3;-;25;7;6;25;-;1;1;129
"170190 ARAGUACEMA";-;6;6;23;4;-;6;2;4;98;4;2;19;174
"170200 ARAGUACU";6;326;39;136;3;15;72;11;6;11;1;25;43;694
"170210 ARAGUAINA";10;487;890;963;1360;414;1745;341;1355;1337;284;395;628;10209
"170215 ARAGUANA";-;8;8;23;30;10;8;5;17;8;1;9;4;131
"170220 ARAGUATINS";-;25;39;55;89;36;56;12;11;35;14;10;201;583
"170230 ARAPOEMA";1;1;5;7;9;5;31;28;121;48;25;25;30;336
"170240 ARRAIAS";-;23;63;30;72;19;486;50;35;173;116;370;38;1475
"170255 AUGUSTINOPOLIS";-;4;13;69;37;1;23;3;1;7;20;6;28;212
"170270 AURORA DO TOCANTINS";-;-;1;18;74;-;9;2;1;55;6;82;2;250
"170290 AXIXA DO TOCANTINS";-;3;8;-;17;5;-;1;2;4;8;5;20;73
"170300 BABACULANDIA";-;7;1;28;14;1;60;6;17;4;5;5;18;166
"170305 BANDEIRANTES DO TOCANTINS";-;7;5;4;3;1;8;2;5;21;2;2;2;62
"170307 BARRA DO OURO";-;2;-;-;4;2;3;1;3;35;4;7;11;72
"170310 BARROLANDIA";-;14;14;14;5;6;52;3;1;166;65;16;4;360
"170320 BERNARDO SAYAO";-;9;5;5;4;6;7;2;29;6;-;-;125;198
"170330 BOM JESUS DO TOCANTINS";-;5;23;25;8;2;21;1;-;41;1;1;5;133
"170360 BRASILANDIA DO TOCANTINS";-;3;1;3;1;-;4;-;16;6;-;1;2;37
"170370 BREJINHO DE NAZARE";-;-;39;16;4;3;19;10;300;41;9;253;10;704
"170380 BURITI DO TOCANTINS";-;-;8;36;15;1;-;2;-;4;3;9;11;89
"170382 CACHOEIRINHA";-;1;-;19;2;-;-;11;43;41;13;4;12;146
"170384 CAMPOS LINDOS";-;5;1;1;1;18;34;-;-;21;2;-;5;88
"170386 CARIRI DO TOCANTINS";-;16;2;6;6;44;5;35;1;32;32;5;2;186
"170388 CARMOLANDIA";-;2;11;25;5;1;6;2;2;38;8;7;4;111
"170389 CARRASCO BONITO";-;-;-;11;2;1;1;12;-;1;3;10;1;42
"170390 CASEARA";-;2;3;1;-;3;6;7;3;25;5;3;1;59
"170410 CENTENARIO";-;-;2;-;2;-;5;-;1;4;-;2;-;16
"170460 CHAPADA DE AREIA";-;6;2;6;1;-;1;1;4;5;-;1;1;28
"170510 CHAPADA DA NATIVIDADE";-;2;7;4;4;15;5;3;14;63;17;10;10;154
"170550 COLINAS DO TOCANTINS";-;40;24;9;26;10;10;5;341;185;72;351;119;1192
"170555 COMBINADO";-;5;2;3;98;26;24;23;110;10;3;35;2;341
"170560 CONCEICAO DO TOCANTINS";-;1;4;10;27;2;31;30;3;77;5;7;5;202
"170600 COUTO MAGALHAES";-;-;12;3;18;3;8;10;22;12;1;4;10;103
"170610 CRISTALANDIA";-;2;13;84;6;1;6;6;7;10;14;5;1;155
"170625 CRIXAS DO TOCANTINS";-;-;-;7;4;-;1;5;-;2;6;1;-;26
"170650 DARCINOPOLIS";-;7;2;12;5;1;2;4;33;7;1;1;9;84
"170700 DIANOPOLIS";-;8;107;384;133;45;164;15;11;74;365;105;108;1519
"170710 DIVINOPOLIS DO TOCANTINS";-;29;111;90;17;14;46;8;1;62;3;1;4;386
"170720 DOIS IRMAOS DO TOCANTINS";2;11;29;81;11;4;28;1;6;28;18;4;6;229
"170730 DUERE";-;-;20;-;10;-;14;7;194;44;-;12;6;307
"170740 ESPERANTINA";-;1;1;5;17;11;4;-;-;-;7;7;15;68
"170755 FATIMA";-;6;3;-;1;1;6;2;5;15;4;1;5;49
"170765 FIGUEIROPOLIS";-;-;6;-;1;6;36;1;12;6;7;9;12;96
"170770 FILADELFIA";-;3;12;2;6;3;22;1;3;4;5;5;2;68
"170820 FORMOSO DO ARAGUAIA";-;154;107;317;6;32;429;18;38;190;24;42;23;1380
"170825 FORTALEZA DO TABOCAO";-;13;12;30;10;4;7;6;23;10;-;3;-;118
"170830 GOIANORTE";1;8;11;26;3;1;6;1;2;15;1;3;10;88
"170900 GOIATINS";-;15;10;2;1;1;5;-;47;56;11;44;10;202
"170930 GUARAI";-;48;22;61;83;15;113;2;142;142;37;10;15;690
"170950 GURUPI";-;50;71;221;116;47;282;205;28;305;260;160;265;2010
"170980 IPUEIRAS";-;1;6;9;-;5;8;-;14;25;1;1;6;76
"171050 ITACAJA";3;27;2;23;2;58;12;1;88;8;10;11;15;260
"171070 ITAGUATINS";-;7;5;21;7;3;8;6;1;14;17;2;4;95
"171090 ITAPIRATINS";-;1;5;8;1;3;5;1;38;30;-;54;1;147
"171110 ITAPORA DO TOCANTINS";-;3;9;20;2;2;14;9;4;118;-;-;5;186
"171150 JAU DO TOCANTINS";-;-;38;3;1;2;23;4;1;6;15;15;18;126
"171180 JUARINA";-;1;2;3;3;-;1;10;6;22;2;3;14;67
"171190 LAGOA DA CONFUSAO";-;16;116;412;58;3;293;24;25;226;6;5;4;1188
"171195 LAGOA DO TOCANTINS";-;6;17;19;1;1;11;1;2;11;5;7;1;82
"171200 LAJEADO";-;1;19;17;20;13;74;7;50;31;-;3;1;236
"171215 LAVANDEIRA";-;11;1;-;13;3;5;3;8;1;3;5;-;53
"171240 LIZARDA";-;2;-;14;1;-;14;1;1;3;-;4;1;41
"171245 LUZINOPOLIS";-;1;1;2;-;4;9;1;26;4;4;8;38;98
"171250 MARIANOPOLIS DO TOCANTINS";-;9;55;2;16;10;31;12;3;10;2;7;5;162
"171270 MATEIROS";-;-;1;1;2;2;5;-;-;9;4;1;6;31
"171280 MAURILANDIA DO TOCANTINS";-;5;3;37;7;1;18;-;-;11;2;5;1;90
"171320 MIRACEMA DO TOCANTINS";1;50;111;162;20;13;27;4;29;186;9;10;12;634
